"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1378.96531887274","1430.55633567274","1476.48332427274","1524.74840607274","1609.50632197274","1686.35174827274","1689.82981007274","1761.58834867274","1838.34057627274","1827.96321487274","1901.16118247274","2041.05185987274","2099.94315427274","2116.60898167274","2174.07184923166","1647.33641779058","1659.41522072265","1698.14602165472","1727.08040821364","1753.19730821364","1693.52270821364","1715.71870821364","1715.84320821364","","",
"Afghanistan","AFG","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4617","22.7525","25.303","25.8831","25.8435","26.1174","26.3114","27.403","30.6631","33.6092","37.483","41.5627","39.4392","37.8004","37.9661","37.9543","37.18","38.2379","38.0993","37.5288","37.1923","38.1891","39.1601","","",
"Africa Western and Central","AFW","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330.48074554731","347.950745961816","290.888556376321","346.981487790827","353.306019205333","357.931729619839","343.314805034345","328.536512448851","347.522276863357","383.646280183051","389.546858502746","408.358021912441","464.707547342136","467.829221231831","599.274901221526","616.37152228122","633.712016005915","665.11294414061","696.576941395305","736.58259439","725.65410039","741.72633039","749.11233039","","",
"Angola","AGO","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107.085805","104.902305","103.068605","103.247905","108.446505","106.511105","99.145797","97.753857","101.146106","102.813866","109.790886","139.080461","141.008555","145.621082","147.728179","152.135442","149.306864","143.831084","139.91419","140.32039","132.08969","134.81859","137.62039","","",
"Albania","ALB","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.01724","13.20494","13.82694","14.01594","14.22464","13.81494","13.86024","13.81454","13.59904","13.57814","9.69016","12.85074","13.51298","9.76943","10.12431","10.01175","9.70207","10.50967","10.49837","9.96417","9.31297","9.74087","9.15757","","",
"Andorra","AND","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121.63515","1143.45063333333","1167.08368666667","1236.21151","1281.65238333333","1363.3292","1419.36984088889","1457.80753177778","1547.06218266667","1570.27419355556","1638.18185444444","1682.77975533333","1746.23752622222","1770.64458711111","1834.856148","1880.694358","1896.084898","1897.841048","1886.855968","1921.463168","1885.133968","1939.938368","1999.145168","","",
"United Arab Emirates","ARE","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107.5709","119.494033333333","120.470866666667","127.973","134.020533333333","142.3007","149.642080888889","160.688261777778","188.779442666667","190.419223555556","199.145904444444","207.371285333333","217.241566222222","229.493547111111","233.419328","245.555128","253.558928","245.682728","230.129028","243.156228","240.889328","248.530528","259.198528","","",
"Argentina","ARG","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","373.45224","367.05631","381.06787","401.16293","428.35985","420.32833","450.62934","466.74429","444.25302","397.55666","406.606","390.83369","435.7875","438.72771","409.79633","395.10272","390.92401","400.58746","401.13252","368.6784","415.16231","435.46391","442.61121","","",
