"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.43","14.92","15.17","15.47","14.6","15.01","14.83","14.82","13.98","15.73","15.83","15.26","6.65","3.18","3.23","3.2","3.09","3.1","3","2.93","3.81","3.13","2.9","","",
"Africa Eastern and Southern","AFE","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.12413470748888","8.82597760316602","8.48719835707039","8.72075451507263","8.69993023643302","8.1668319700992","7.9174013979197","7.69147598609781","7.70079626114117","7.85231039570682","7.32262337427946","7.28694301705165","7.14622109796895","7.04639214908717","7.01580541689895","6.8263502404014","6.84465984941395","6.71018640925387","6.56354315706116","6.51487704892833","6.66035470628078","6.5073215041492","","","",
"Afghanistan","AFG","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","1.5","1.4","1.39","1.21","1.41","1.5","1.54","1.95","2.27","2.63","3.25","2.6","2.44","2.22","2.35","2.21","2.27","2.4","2.37","2.54","2.94","","","",
"Africa Western and Central","AFW","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.82735604641129","7.63630982029574","7.27647301543406","7.07746778951499","6.83264738101263","6.77347486844139","6.50164717445764","6.349615026347","6.1684277119714","5.83077574367601","5.95775480238256","6.1003220667997","5.92514773855976","5.84541247779099","5.65865663575918","5.48811194616702","5.64312385319088","5.52808971965003","5.42765410977341","5.50309984366008","5.63564026376909","5.55716745503983","","","",
"Angola","AGO","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.77","3.74","3.41","3.56","3.23","2.64","2.65","2.55","2.51","2.77","2.65","2.65","2.78","2.65","2.29","2.72","2.59","2.65","2.47","2.66","2.8","3.1","","","",
"Albania","ALB","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.03","3.79","4","3.71","3.86","3.66","3.38","3.04","2.94","2.91","2.78","2.83","2.51","2.89","2.86","2.62","2.61","2.64","2.53","2.45","2.34","2.27","2.06","","",
"Andorra","AND","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.75","2.56","2.5","2.34","2.29","2.22","2.05","2.04","2.17","2.21","2.26","2.14","2.28","2.32","2.2","2.16","2.12","2.12","2.19","2.11","1.92","1.89","1.81","","",
"Arab World","ARB","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.21384944037247","5.69697658243884","5.85471873955377","4.84388558304026","4.6189320977545","4.68743079057348","4.68673174373243","4.6909333883461","4.75674467103499","4.98983453796006","5.01750168616332","4.98354374729148","5.05226899883163","4.93175366252419","5.09164257652264","5.04849088982291","4.99350039109455","5.02224231821772","4.90665432115321","4.91999423121066","4.89911663676865","4.94158429094906","","","",
"United Arab Emirates","ARE","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.13","5.67","5.47","4.95","4.46","4.52","4.29","4.51","5.17","5.84","5.36","4.99","5.13","5.17","5.64","5.82","5.87","4.87","4.94","5.24","5.29","5.48","","","",
"Argentina","ARG","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.69","3.59","3.98","3.96","4.04","3.68","3.58","3.44","3.42","3.35","3.26","3.18","3.3","3.31","3.4","3.36","3.41","3.32","3.31","3.35","3.46","3.39","3.29","","",
"Armenia","ARM","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","6.28","5.11","4.73","4.53","4.76","4.28","4.2","4.14","4.18","3.9","4.07","4.16","3.92","4.12","4.12","3.93","3.86","3.51","3.52","4.01","3.91","","","",
"American Samoa","ASM","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.67","4","4.29","4.29","4.24","4.24","4.06","3.82","3.85","4.51","4.78","4.86","4.81","4.86","4.77","4.69","4.57","4.47","4.29","4.26","5","4.83","4.48","","",
